0x83c0d04b5e80c9131f5ed00fc4d8e13c5117b1d2c77f5cd79d4b537457a5a155, 1603011314, ETH, 0.00008877550239020248, COMP, 0.000285000407257727
0xafb6baf1e0454fc800c133a0bad5e88048709e7eb83c1391c4d13fd0831b161e, 1603052210, ETH, 0.00004934645703312029, COMP, 0.000158922603309771
0xefd0d63361c3a44d5e9503b880b97892ad83a21d7612ab62c29f048d180faf1c, 1603773745, ETH, 0.005850786029469047, COMP, 0.019950990061748546
0xa735e13e10134bb80728b9a9c31f96f6b79b2568c1ffc61c77c9984285b9de63, 1603773961, ETH, 1.7599901606776787, COMP, 5.9947761442200695
0xe015e59d3f481f7d27f1e368a4bae42f2789950893e0c892139efb311cd2d855, 1603785277, ETH, 9.521403307417087, COMP, 31.479698574021963
0x2e5d478d5963d45f8c8ac0e59a6664a5da8591db89317117134d87d20a37c3a4, 1603997171, ETH, 2.5171864565100868, COMP, 9
0xade1a9b76ef4dc968a58e48fe3b062b0127949567a2e037f5855fd2a1d2e8fee, 1604926261, ETH, 17.394112981973766, COMP, 73
0x5a4e51073b05118f989e6a488b7e839461a4961b959f9c651bcac5da863ff6ca, 1605057922, WBTC, 0.14903113048169922, COMP, 19.46919808105224
0x9b1d68efcdee40c245a63b562abe88cbc933785f5a8e7b4aeddabd1430d8d64d, 1605080284, DAI, 392.7331819646096, COMP, 3.2078279637160194
0x674e9b67e10414b4bdc2e6141ee49fef4978a79832678fe59151553fd13a38e3, 1605221124, ETH, 0.000030249876931246465, COMP, 0.000124380191145229
0xfec2e6f9da1a9551e4d4c29082bf2dd60c7c351f8dd7ef9f695958d71460c38b, 1605319288, ETH, 0.000016847158671562837, COMP, 0.000062212368042998
0x4012efcb9fa71399f27ce55efa5d5d50e6a17b043289629bfe0223035a238491, 1605394806, ETH, 7.303275921580643, COMP, 25.061092484258324
0xfb7f13afe8dfefebce49693b2e234ed6ec731b633706d78a02fd9277a5adf2bc, 1605590028, ETH, 0.00001066419403524751, COMP, 0.000035785161392338
0x4d5945749004f2a8b95ce2ad770a6934c7f36e45624aef55741f20f5f9fed351, 1605728638, ETH, 0.000006004295085168373, COMP, 0.000023175030192684
0x35bb29e9fcc60095551aaaf73aa030cd049112c9d44b36b2ca3c7d656b98fb9e, 1606368194, ETH, 2.244294388858119, COMP, 9.699903
0x2eb55dcd64cf51a7d06ccf1daa7cbf1eca756e25bd9837ffb2cef592eda88cc0, 1606393167, ETH, 1.4558454295855414, COMP, 6.420797073374942
0x232e8c981b910d6a7bb215218cb1b01d836404350800c9cfdda4463026628573, 1606602888, ETH, 0.000003306853643405244, COMP, 0.000015118805022736
0x4b68321307d2915df3252d8f4310482d3711ecc6b975b4f01b63aebd15b0fb61, 1606607190, ETH, 0.0000019382450332090097, COMP, 0.000008834518993051
0xa7a549d22a447f5c1b93283bbc9f48d09385bb49864805f9d1604fdeef183d75, 1606761268, BAT, 4506.801322005167, COMP, 8.367764252749948
0x5cf141d01aab7b3f1b2e677df3fc4dee045087e7a790443b8fdf1d82cac2b934, 1607088168, ETH, 0.000001150299219217972, COMP, 0.000004423820657913
0x3e5ad8b388f2ac83fd0da96703475bf6f9b225c24b0efab102626d68b4b6f001, 1607436829, ETH, 6.828131478990184e-7, COMP, 0.000002214474827714
0xcaaa9d9b5fb542db1b6caa7b06bea176aa74fd3048fd67bbc1052ee2a8bc5c44, 1607448497, USDC, 311.42658206754226, COMP, 1.6160844384855122
0x2237e85495cae491698413a8847d598a135dc7187dbf0a2f99a187e6491a21d3, 1607549367, ETH, 4.152169953586799e-7, COMP, 0.000001305196627387
0x39d9e88e008678cdafe657acb84cd51c36f890823e491a96a30632c5d90cd282, 1607752792, DAI, 128.82295083509464, COMP, 0.8089604029347256
0xeb51aa22d54c91c0da222c10a2e78a6f09a2153ae7c605ebd03a7a1368cba7ab, 1607771328, ETH, 0.146749269860361, COMP, 0.5029980470713022
0x3854c84a35d8dba4bb861ebb6bf7bf53f3296655b302f3591aa9622decf2555d, 1607811371, ETH, 0.04187344455775809, COMP, 0.151539338302062
0xc99409cf3faa9c8a8484bedca4411fab80b65dfc6bbec82f4dea6801f86711c6, 1607815403, ETH, 0.048246019046842926, COMP, 0.17477214804601834
0x158e1711904ed2473f56b161ac639a51186be7fed3d8342c69fd5ca441a45373, 1607908167, ETH, 8.412556927479572e-8, COMP, 3.0875380524e-7
0x8e3cdde437823a3ce0d14f3dee1bfab8fc3855b12da495f5ed358ff9afe2cd0c, 1607918425, ETH, 5.087594815937139e-8, COMP, 1.89637440638e-7
0x1f67805ca190c93b9bbe5104ef138f0557fcd35ec0b97dcbb31d6ee5b065b1d6, 1610691845, DAI, 453.48477258699745, COMP, 2.0167058159730136
0xdda78b97573478fa6a106a66768452c84453ed5fe2bb9c5242e9a5b2d6aead68, 1610729888, USDC, 318.06243690748136, COMP, 1.5002279941719596
0x8b9906b41288c07e498c23e1e491ea50c02a861d1537a15cf762ed0f79f757b7, 1610850542, ETH, 1.7781250749247697, COMP, 9.3499065
0x3902db6a689569cf9dbc64ec09b3f9c059990f31835a5dfe07a21106ce656e53, 1610961229, DAI, 249.5878555888465, COMP, 0.9993302146813628
0x1223183aec868f12acafcb4f843ecf46fc831fbf24d6f751e79380a9d2aa9325, 1611390089, DAI, 316758.5768838081, COMP, 1395.6723336033926
0x3c96b2dc96264e6fbb86ce1645c1a42f113f0e2a09730f45893f97e2be0ab854, 1611866779, ETH, 1.0215239994155363, COMP, 4.693346719278756
0x2625ecacc14d65ea02fbdb55179a4abbce59a6450cf8200ce02475c1b744e06f, 1611983317, ETH, 0.607817660520013, COMP, 2.3476857339706334
0xc2c22a1e453cc8258481e5fc1120f78fd7cd46e5dad50371fc5e06139f5e6087, 1612150032, WBTC, 5.877890126127569, COMP, 496.0362101400874
0x429c0cddb61c3f5e26dca6a56517451a8793241354c49d8b636b2640ae1f8088, 1612442921, WBTC, 16.356496731351847, COMP, 1294.4453875809268
0x2c91ae0d0b071ec6e81ae01b9c85018a4b9a292b6204024f1495eb8508f6f2ae, 1613322683, COMP, 6329.965041083168, COMP, 5861.078742551517
0xc2c9c4ccf4fc673ebb2d68b41f8a1e765be3a95a51b154b11c076f88979207d3, 1619229754, ETH, 0.40205342285229007, COMP, 1.280860957806578
0x792763a543a5fe556951dea75bf4151ff5f06faef11418047292624260f98792, 1619832460, USDC, 421.0504913352545, COMP, 0.5241307646977785
0x1afd5cf2f5a0989e9f9e1733ed4afa0511fccc97ce1de5d22e3c616063554f21, 1620904149, COMP, 5925.483173009988, COMP, 5486.558493909386
0x6a3146c6d7f03743b41d83a3e01ff9c56e95c03c0a4a3e2b0a752658b9971280, 1620917893, COMP, 3.207630804307929, COMP, 2.970028523182556
0x688fbcb62d53e8f3a623f141169fe9e2ddf0943e11e42d706f02e775e38f2288, 1621466807, USDC, 8028.316356262639, COMP, 14.007209828150295
0x7ad2cefdd0dac9f3fdc2732fad3bf33b3bbe883653f8bbb441e1c6f058bb0dea, 1623982679, DAI, 174.3514703122003, COMP, 0.5271360459938947
0x7ca530503aa33ade7a7811adba8b54d1a3fd2da57b9c7f41ab5522932d470d12, 1625511988, ETH, 1.223712743577634, COMP, 5.165515809016774
0x3f9b19b45320fc7c70f37590419b90e1c8846173be2922f272ada903804b0daa, 1630845097, DAI, 19024.984915300007, COMP, 33.651684907086626
0xe32d20eda732a4b4479236944038b1c1d120f4bceaa765613a91d19cc4574e08, 1632045427, COMP, 1.9956984705708185, COMP, 1.847868954409941
